collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2024411525987,2024,411525987,3,2,1,1,37,7,3,0,0,0,0,0,9,3,E01004063,3,1,0,1,4
2024461513241,2024,461513241,4,4,2,2,20,4,3,0,0,1,0,0,9,4,E01016100,3,1,0,1,3
2024161497608,2024,161497608,1,1,1,1,12,3,3,0,0,0,0,0,1,1,E01013162,3,1,0,1,1
2024010546611,2024,010546611,1,2,2,-1,-1,-1,3,0,0,1,0,0,9,-1,-1,3,1,0,1,-1
2024351432222,2024,351432222,6,10,2,2,7,2,3,0,0,2,0,0,9,7,E01030083,3,1,0,1,5
2024010520312,2024,010520312,1,1,1,1,26,6,3,0,0,0,0,0,3,2,E01003111,3,1,0,1,1
2024302400541,2024,302400541,1,1,3,1,17,4,2,5,1,0,0,0,0,10,E01007959,-1,0,1,0,2
2024361411660,2024,361411660,1,1,3,2,32,6,3,5,9,0,0,-1,0,2,E01026820,3,1,0,1,1
2024201451163,2024,201451163,2,1,1,1,22,5,3,0,0,0,0,0,1,6,E01009531,3,1,0,1,1
2024430069194,2024,430069194,2,1,1,1,42,7,3,0,0,0,0,0,3,4,E01016733,-1,0,0.09745,0.90255,1
2024061538098,2024,061538098,1,1,1,1,-1,-1,3,0,0,0,0,0,9,7,E01025373,3,1,0,1,4
2024211485273,2024,211485273,1,1,3,1,33,6,2,10,9,0,0,-1,0,-1,-1,7,1,1,0,-1
2024531509167,2024,531509167,1,2,3,2,11,3,3,6,9,0,0,-1,0,5,E01022330,3,1,0,1,1
2024361491403,2024,361491403,1,1,1,2,48,8,3,0,0,0,0,0,5,6,E01026462,3,1,0,1,4
2024010492000,2024,010492000,1,1,1,1,23,5,3,0,0,0,0,0,9,-1,-1,3,1,0,1,-1
2024010506591,2024,010506591,1,1,2,2,19,4,3,0,0,2,0,0,9,5,E01000607,3,1,0,1,1
2024010538120,2024,010538120,1,1,1,2,43,7,3,0,0,0,0,0,9,7,E01003139,3,1,0,1,3
2024101475714,2024,101475714,2,1,2,2,3,1,3,0,0,2,0,0,9,5,E01027365,3,1,0,1,4
2024131501169,2024,131501169,2,1,1,2,50,8,3,0,0,0,0,0,3,6,E01010592,3,1,0,1,2
2024440377574,2024,440377574,1,1,1,2,75,10,3,0,0,0,0,0,9,10,E01030773,-1,0,0.06937,0.93063,2
2024461404666,2024,461404666,1,1,2,1,29,6,3,0,0,2,0,0,9,7,E01024133,3,1,0,1,1
2024461453440,2024,461453440,1,1,2,2,24,5,3,0,0,1,0,0,9,10,E01024424,3,1,0,1,1
2024501415554,2024,501415554,1,1,1,2,18,4,3,0,0,0,0,0,3,4,E01018945,3,1,0,1,3
2024131438473,2024,131438473,1,1,3,2,8,2,2,5,1,0,0,-1,0,2,E01011079,7,1,1,0,1
2024471506932,2024,471506932,1,1,3,2,80,11,3,5,1,0,0,-1,0,6,E01016968,3,1,0,1,1
2024010515572,2024,010515572,1,1,1,1,31,6,3,0,0,0,0,0,1,6,E01003100,3,1,0,1,1
2024041395641,2024,041395641,1,1,1,1,27,6,3,0,0,0,0,0,1,2,E01025269,3,1,0,1,1
2024010533434,2024,010533434,1,1,1,2,22,5,3,0,0,0,0,0,1,4,E01002047,3,1,0,1,1
2024461525831,2024,461525831,2,1,1,1,35,6,2,0,0,0,0,0,3,9,E01024269,5,1,1,0,1
2024332400260,2024,332400260,2,3,2,2,62,9,1,0,0,1,0,0,9,7,E01025898,1,1,0,0,1
2024520401300,2024,520401300,2,1,1,1,45,7,2,0,0,0,0,0,9,5,E01017157,-1,0,1,0,4
2024461504994,2024,461504994,2,1,1,1,34,6,3,0,0,0,0,0,19,2,E01024128,3,1,0,1,3
2024010493791,2024,010493791,1,1,1,1,27,6,3,0,0,0,0,0,90,6,E01003694,-1,0,0,1,1
2024141440969,2024,141440969,1,1,1,1,16,4,3,0,0,0,0,0,97,2,E01007635,3,1,0,1,1
2024010523079,2024,010523079,2,1,1,1,24,5,3,0,0,0,0,0,1,4,E01003803,3,1,0,1,3
2024231513112,2024,231513112,2,1,1,1,41,7,3,0,0,0,0,0,1,7,E01035033,3,1,0,1,2
2024010496956,2024,010496956,2,1,1,1,32,6,3,0,0,0,0,0,3,6,E01000142,3,1,0,1,2
2024471491510,2024,471491510,2,1,1,1,58,9,2,0,0,0,0,0,5,9,E01021153,5,1,1,0,3
2024041474404,2024,041474404,2,1,1,1,49,8,3,0,0,0,0,0,9,1,E01024877,3,1,0,1,1
2024302400947,2024,302400947,2,1,1,1,18,4,3,0,0,0,0,0,9,6,E01019477,-1,0,0.11138,0.88862,1
2024351495356,2024,351495356,2,4,2,1,5,1,3,0,0,2,0,0,9,7,E01018125,3,1,0,1,2
2024041526499,2024,041526499,2,1,1,2,57,9,3,0,0,0,0,0,9,8,E01034347,3,1,0,1,2
2024522402384,2024,522402384,1,2,2,2,17,4,3,0,0,1,0,0,9,3,E01014609,-1,0,0.0023,0.9977,1
2024041522719,2024,041522719,1,1,3,1,99,11,3,5,1,0,0,-1,0,4,E01025198,3,1,0,1,1
2024010497253,2024,010497253,2,1,1,1,29,6,2,0,0,0,0,0,3,-1,-1,6,1,1,0,-1
2024451433005,2024,451433005,2,2,2,2,11,3,3,0,0,2,0,0,9,5,E01002611,3,1,0,1,4
2024610009124,2024,610009124,2,3,2,1,20,4,3,0,0,2,0,0,9,-1,-1,-1,0,0.05712,0.94288,-1
2024622500035,2024,622500035,2,2,1,1,27,6,3,0,0,0,0,0,9,-1,-1,-1,0,0.0159,0.9841,-1
2024311536680,2024,311536680,1,1,1,1,13,3,3,0,0,0,0,0,1,1,E01013867,3,1,0,1,1
2024501443456,2024,501443456,2,1,1,1,45,7,2,0,0,0,0,0,3,1,E01020103,7,1,1,0,1
2024471459062,2024,471459062,1,1,1,1,87,11,2,0,0,0,0,0,5,5,E01021152,5,1,1,0,3
2024010513764,2024,010513764,1,1,1,1,34,6,3,0,0,0,0,0,9,8,E01021784,3,1,0,1,2
2024131457731,2024,131457731,1,1,1,1,18,4,2,0,0,0,0,0,9,6,E01011305,7,1,1,0,2
2024351443588,2024,351443588,2,1,1,2,30,6,3,0,0,0,0,0,1,4,E01017945,3,1,0,1,1
2024461394965,2024,461394965,2,1,1,1,32,6,3,0,0,0,0,0,5,6,E01024578,3,1,0,1,1
2024610034024,2024,610034024,1,1,2,1,17,4,2,0,0,0,0,0,5,-1,-1,-1,0,1,0,-1
2024010548251,2024,010548251,1,1,3,1,92,11,2,6,9,0,0,0,0,3,E01003605,5,1,1,0,3
2024052402037,2024,052402037,2,1,1,1,13,3,3,0,0,0,0,0,1,3,E01034841,-1,0,0.09082,0.90918,1
2024131521305,2024,131521305,2,1,1,2,23,5,3,0,0,0,0,0,1,5,E01011435,3,1,0,1,1
2024401518026,2024,401518026,2,1,2,2,29,6,2,0,0,-1,0,0,1,4,E01015785,7,1,1,0,1
2024361473485,2024,361473485,1,1,1,1,23,5,3,0,0,0,0,0,5,1,E01026800,3,1,0,1,1
2024201441969,2024,201441969,2,5,2,1,20,4,3,0,0,2,0,0,8,10,E01029678,3,1,0,1,3
2024471410762,2024,471410762,1,2,2,1,27,6,3,0,0,1,0,0,9,4,E01020918,3,1,0,1,1
2024010496196,2024,010496196,2,1,1,2,40,7,3,0,0,0,0,0,9,3,E01004434,3,1,0,1,1
2024401535954,2024,401535954,1,1,2,2,31,6,2,0,0,1,0,0,9,7,E01033817,7,1,1,0,2
2024421435542,2024,421435542,1,1,1,2,64,9,3,0,0,0,0,0,9,8,E01021400,3,1,0,1,3
2024461484707,2024,461484707,2,1,1,1,67,10,2,0,0,0,0,0,9,7,E01016170,6,1,1,0,4
